countyFIPS,population,Total_cases
28121,155271,20150
28123,28124,29432
28125,4321,394
28127,26658,4476
28129,15916,7048
28131,18336,1654
28133,25110,4846
28135,13809,1282
28137,28321,4223
28139,22015,4777
28141,19383,1213
28143,9632,3050
28145,28815,3449
28147,14286,3190
28149,45381,7829
28151,43909,8686
28153,20183,7034
28155,9689,2771
28157,8630,5243
28159,17955,5224
28161,12108,3991
28163,29690,12828
0,0,316
29001,25343,2219
29003,17712,987
29005,5143,171
29007,25388,2360
29009,35789,424
29011,11754,11
29013,16172,539
29015,19443,575
29017,12133,346
29019,180463,9147
29021,87364,27677
29023,42478,1903
29025,9020,265
29027,44743,1886
29029,46305,2577
29031,78871,4064
29033,8679,313
29035,5982,290
29037,105780,5159
29039,14349,545
29041,7426,387
29043,88595,1593
29045,6797,74
29047,249948,8686
29049,20387,1063
29051,76745,3878
29053,17709,548
29055,23920,511
29057,7561,1
29059,16878,185
29061,8278,213
29063,12547,304
29065,15573,32
29067,13185,38
29069,29131,2026
29071,103967,8772
29073,14706,149
29075,6571,997
29077,293086,8320
29079,9850,109
29081,8352,499
29083,21824,625
29085,9544,0
29087,4403,62
29089,10001,162
29091,40117,495
29093,10125,124
29095,703011,93272
29097,121328,2559
29099,225081,19869
29101,54062,4584
29103,3959,12
29105,35723,178
29107,32708,4079
29109,38355,279
29111,9776,361
29113,59013,4390
29115,11920,435
29117,15227,200
29119,22837,1029
29121,15117,222
29123,12088,151
29125,8697,151
29127,28530,284
29129,3617,56
29131,25619,184
29133,13180,1609
29135,16132,2607
29137,8644,50
29139,11551,584
29141,20627,413
29143,17076,1016
29145,58236,1250
29147,22092,484
29149,10529,123
29151,13615,352
29153,9174,0
29155,15805,3711
29157,19136,3637
29159,42339,3565
29161,44573,194
29163,18302,1012
29165,104418,3601
29167,32149,147
29169,52607,2660
29171,4696,9
29173,10309,171
29175,24748,635
29177,23018,994
29179,6270,156
29181,13288,446
29183,402022,45273
29185,9397,136
29186,17894,639
29187,67215,2165
29189,994205,261632
29195,22761,13152
29197,4660,31
29199,4902,321
29201,38280,5591
29203,8166,86
29205,5930,83
