FIPS,Geog_Level,State_name,County_name,Lat_State,Lon_State,LAND_AREA,Med_HHD_Inc_ACS_14_18($),Aggregate_HH_INC_ACS_14_18($),Tot_Pop_CEN_2010,Tot_Pop_ACS_14_18,Pop_65plus_ACS_14_18,NH_Blk_alone_ACS_14_18,Pov_Univ_ACS_14_18,Prs_Blw_Pov_Lev_ACS_14_18,One_Health_Ins_ACS_14_18,No_Health_Ins_ACS_14_18,pct_Pov_Univ_ACS_14_18,pct_Prs_Blw_Pov_Lev_ACS_14_18,pct_One_Health_Ins_ACS_14_18,pct_No_Health_Ins_ACS_14_18,pct_NoHealthIns_65P_ACS_14_18,pct_Pop_NoCompDevic_ACS_14_18,pct_Pop_w_BroadComp_ACS_14_18,pct_HHD_NoCompDevic_ACS_14_18,pct_HHD_No_Internet_ACS_14_18,pct_HHD_w_Broadband_ACS_14_18,State,County,Latitude,Longitude
1025,County,Alabama,Clarke County,,,1238.466,36127,485601300,25833,24387,4626,11173,23963,6088,16163,2594,98.26,25.41,66.28,10.64,1.34,27.39,57.71,34.72,41.49,32.52,AL,Clarke,31.685521,-87.8186
1027,County,Alabama,Clay County,,,603.961,41225,297084400,13932,13378,2652,1971,13040,2405,8662,1340,97.47,18.44,64.75,10.02,0,13.99,73.99,21.12,28.82,41.75,AL,Clay,33.267809,-85.8621
1029,County,Alabama,Cleburne County,,,560.1,40188,314191900,14972,14938,2803,393,14659,2719,10093,1886,98.13,18.55,67.57,12.63,1.4,12.75,66.6,20.12,33.99,33.15,AL,Cleburne,33.671981,-85.5161
1031,County,Alabama,Coffee County,,,678.971,53155,1371482500,49948,51288,8375,8746,50502,7604,32341,5004,98.47,15.06,63.06,9.76,0.14,9.45,81.34,14.49,19.11,59.71,AL,Coffee,31.402183,-85.9892
1033,County,Alabama,Colbert County,,,592.618,47558,1304341700,54428,54495,10502,8561,53991,8785,38544,4353,99.08,16.27,70.73,7.99,0.07,12.95,73.79,18.6,25.88,46.64,AL,Colbert,34.703112,-87.8015
1035,County,Alabama,Conecuh County,,,850.156,33177,191070600,13228,12514,2707,5961,12381,2752,8198,1804,98.94,22.23,65.51,14.42,0,34.95,53.05,42.41,49.08,23.13,AL,Conecuh,31.428293,-86.992
1037,County,Alabama,Coosa County,,,650.926,38301,229504700,11539,10855,2368,3713,10452,1459,7023,812,96.29,13.96,64.7,7.48,1.25,17.29,68.9,24.81,32.1,37.34,AL,Coosa,32.931445,-86.2435
1039,County,Alabama,Covington County,,,1030.455,40601,830163100,37765,37351,7650,4790,36586,6702,25482,4116,97.95,18.32,68.22,11.02,0.18,16.11,75.84,23.43,28.13,42.76,AL,Covington,31.243987,-86.4487
1041,County,Alabama,Crenshaw County,,,608.84,39812,294810400,13906,13865,2542,3147,13661,2148,9254,1360,98.53,15.72,66.74,9.81,0.08,20.92,67.19,29.11,35.9,40.62,AL,Crenshaw,31.732826,-86.3192
1043,County,Alabama,Cullman County,,,734.842,42558,1799660500,80406,82313,14803,954,81016,12831,56742,9631,98.42,15.84,68.93,11.7,0,13.2,75.61,18.69,25.37,46.29,AL,Cullman,34.131923,-86.8693
1045,County,Alabama,Dale County,,,561.148,45960,1104958900,50251,49255,7939,9611,47854,8798,29010,5274,97.16,18.39,58.9,10.71,0.23,11.84,75.82,15.61,21.14,53.66,AL,Dale,31.430654,-85.6095
1047,County,Alabama,Dallas County,,,978.693,31602,752253200,43820,40029,6705,28119,39394,12247,27975,4765,98.41,31.09,69.89,11.9,0.96,22.02,68.55,28.24,32.99,41.73,AL,Dallas,32.33354,-87.1144
1049,County,Alabama,DeKalb County,,,777.093,39233,1415254400,71109,71200,11619,979,70215,15500,47458,10231,98.62,22.08,66.65,14.37,0.63,15.89,71.93,21.02,29.13,48.57,AL,DeKalb,34.460929,-85.804
1051,County,Alabama,Elmore County,,,618.485,59347,2174937700,79303,81212,11770,17148,76683,9462,54843,6227,94.42,12.34,67.53,7.67,0,8.88,84.1,13.36,17.17,65.61,AL,Elmore,32.597229,-86.1427
1053,County,Alabama,Escambia County,,,945.083,35000,637937300,38319,37328,6476,11912,34383,8268,24140,5341,92.11,24.05,64.67,14.31,0.13,26.36,63.57,34.63,40.14,24.32,AL,Escambia,31.121748,-87.1684
1055,County,Alabama,Etowah County,,,534.987,44023,2286006500,104430,102939,18877,15816,101536,17524,69947,10662,98.64,17.26,67.95,10.36,0.04,11.38,78.13,16.64,21.76,56.79,AL,Etowah,34.047638,-86.0344
1057,County,Alabama,Fayette County,,,627.66,37458,361412100,17241,16585,3392,1858,16251,3258,11051,1446,97.99,20.05,66.63,8.72,0,15.67,75.79,22.15,28.86,44.54,AL,Fayette,33.732249,-87.752
1059,County,Alabama,Franklin County,,,633.819,40459,586229900,31704,31542,5100,1338,31129,6299,22134,4005,98.69,20.24,70.17,12.7,0,20.96,67.18,28.4,35.65,32.9,AL,Franklin,34.441988,-87.8428
1061,County,Alabama,Geneva County,,,574.409,38142,521055600,26790,26491,5152,2468,26177,6282,17273,3586,98.81,24,65.2,13.54,0.18,13.9,72.72,20.2,27.61,42.1,AL,Geneva,31.090866,-85.8243
1063,County,Alabama,Greene County,,,647.11,21804,99403100,9045,8426,1716,6707,8344,3225,5676,956,99.03,38.65,67.36,11.35,0,29.08,56.86,44.81,52.66,33.57,AL,Greene,32.844497,-87.9642
1065,County,Alabama,Hale County,,,643.942,30571,279326600,15760,14887,2717,8743,14648,3809,10147,1284,98.39,26,68.16,8.62,0,24.57,60.95,34.38,40.81,36,AL,Hale,32.752796,-87.6231
1067,County,Alabama,Henry County,,,561.75,48610,396644500,17302,17124,3696,4727,16770,2270,10881,1917,97.93,13.54,63.54,11.19,0,13.8,76.72,19,25.15,47.13,AL,Henry,31.516978,-85.24
1069,County,Alabama,Houston County,,,579.821,45496,2548549400,101547,104352,17615,27887,103287,18913,73608,10737,98.98,18.31,70.54,10.29,0.48,16.58,74.02,19.91,25.84,56.06,AL,Houston,31.158193,-85.2964
1071,County,Alabama,Jackson County,,,1077.865,39816,1077305900,53227,52094,9972,1799,51548,10418,35176,4974,98.95,20.21,67.52,9.55,0.43,14.56,74.44,21.7,28.27,54.74,AL,Jackson,34.763522,-85.9774
1073,County,Alabama,Jefferson County,,,1111.279,51979,19642587900,658466,659892,99146,280748,645154,109707,478597,62164,97.77,17,72.53,9.42,0.4,9.42,80.45,13.82,19.17,64.21,AL,Jefferson,33.553444,-86.8965
